indicator,region,Unit,Date,Value
Overall Monthly Inflation,Zambia,Percent,2018M10,0.7
Overall Monthly Inflation,Zambia,Percent,2018M11,0.91
Overall Monthly Inflation,Zambia,Percent,2018M12,0.75
Overall Monthly Inflation,Zambia,Percent,2019M1,1.05
Overall Monthly Inflation,Zambia,Percent,2019M2,0.73
Overall Monthly Inflation,Zambia,Percent,2019M3,1.09
Overall Monthly Inflation,Zambia,Percent,2019M4,0.73
Overall Monthly Inflation,Zambia,Percent,2019M5,0.85
Overall Monthly Inflation,Zambia,Percent,2019M6,0.75
Overall Monthly Inflation,Zambia,Percent,2019M7,0.45
Overall Monthly Inflation,Zambia,Percent,2019M8,0.74
Overall Monthly Inflation,Zambia,Percent,2019M9,1.22
Overall Monthly Inflation,Zambia,Percent,2019M10,0.94
Overall Monthly Inflation,Zambia,Percent,2019M11,1
Overall Monthly Inflation,Zambia,Percent,2019M12,1.58
Overall Monthly Inflation,Zambia,Percent,2020M1,1.77
Overall Monthly Inflation,Zambia,Percent,2020M2,1.94
Overall Monthly Inflation,Zambia,Percent,2020M3,1.24
Overall Monthly Inflation,Zambia,Percent,2020M4,2.21
Overall Monthly Inflation,Zambia,Percent,2020M5,1.59
Overall Monthly Inflation,Zambia,Percent,2020M6,0.21
Overall Monthly Inflation,Zambia,Percent,2020M7,0.34
Overall Monthly Inflation,Zambia,Percent,2020M8,0.46
Overall Monthly Inflation,Zambia,Percent,2020M9,1.4
Overall Monthly Inflation,Zambia,Percent,2020M10,1.25
Overall Monthly Inflation,Zambia,Percent,2020M11,2.19
Overall Monthly Inflation,Zambia,Percent,2020M12,3.15
Overall Monthly Inflation,Zambia,Percent,2021M1,3.7
Overall Monthly Inflation,Zambia,Percent,2021M2,2.53
Overall Monthly Inflation,Zambia,Percent,2021M3,1.75
Overall Monthly Inflation,Zambia,Percent,2021M4,2.15
Overall Monthly Inflation,Zambia,Percent,2021M5,2.01
Overall Monthly Inflation,Zambia,Percent,2021M6,1.32
Overall Monthly Inflation,Zambia,Percent,2021M7,0.31
Overall Monthly Inflation,Zambia,Percent,2021M8,0.36
Overall Monthly Inflation,Zambia,Percent,2021M9,-0.49
Overall Monthly Inflation,Zambia,Percent,2021M10,0.42
Overall Monthly Inflation,Zambia,Percent,2021M11,0.63
Overall Monthly Inflation,Zambia,Percent,2021M12,0.63
Overall Monthly Inflation,Zambia,Percent,2022M1,2.56
Overall Monthly Inflation,Zambia,Percent,2022M2,1.74
